question_id,question_class,arm,rep,passed,failed_checks,latency_ms,adjusted_latency_ms,rate_limit_wait_s,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_calls,tool_calls,path,termination,budget_type,error_kind,parse_error,usage_missing_calls,answer
w7-01,single_hop,agent,1,True,,8073.4,8073.4,0.0,3006,315,0,3321,0.0006399,2,1,search_docs,final_answer,,,,0,"In v3, Client.send() does not retry on a 4xx response; such statuses are returned to the caller immediately and are never retried."
w7-01,single_hop,workflow,1,True,,25033.486,25033.486,0.0,3196,229,0,3425,0.0006168,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"In v3, Client.send() does not retry when it receives a 4xx response; those status codes are returned to the caller immediately and are never retried."
w7-02,single_hop,agent,1,True,,3106.009,3106.009,0.0,2273,182,0,2455,0.00045015,2,1,get_openapi_spec,final_answer,,,,0,"In v3, Client.upload() makes a POST request to the /v3/files endpoint."
w7-02,single_hop,workflow,1,True,,22746.161,22746.161,0.0,2871,184,0,3055,0.00054105,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"In v3, Client.upload() makes a POST request to the “/v3/files” endpoint."
w7-03,single_hop,agent,1,False,must_contain,1144.648,1144.648,0.0,1915,163,0,2078,0.00038505,2,1,check_deprecation,final_answer,,,,0,The v3 batch operation behind Client.send_batch() is still current and not retired.
w7-03,single_hop,workflow,1,False,must_contain,20433.73,20433.73,0.0,2724,183,0,2907,0.0005184,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,The v3 batch operation used by Client.send_batch() is not retired; it remains a current API method.
w7-04,cross_version,agent,1,True,,19602.535,19602.535,0.0,5359,300,768,5659,0.00092625,3,2,search_docs -> search_docs,final_answer,,,,0,"Yes, the default heartbeat_ms for Client.stream() was reduced from 30000 ms in v2 to 15000 ms in v3."
w7-04,cross_version,workflow,1,True,,20414.396,20414.396,0.0,2528,215,0,2743,0.0005082,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"Yes, the default heartbeat_ms changed from 30000 ms in v2 to 15000 ms in v3."
w7-05,cross_version,agent,1,False,version_named,16805.069,16805.069,0.0,4690,476,768,5166,0.0009315,3,2,search_docs -> search_docs,final_answer,,,,0,"In v2, Client.close() unconditionally cancels any in‑flight requests (the force parameter defaults to true and cannot be disabled), closes every pooled connection immediately, and provides no timeout or graceful draining of those requests. In v3 the default changed so that in‑flight requests are dra"
w7-05,cross_version,workflow,1,False,version_named,19063.692,19063.692,0.0,2247,444,0,2691,0.00060345,1,4,search_docs -> search_docs -> check_deprecation -> get_openapi_spec,final_answer,,,,0,"In v2, Client.close() unconditionally closes every pooled connection and immediately cancels any in‑flight requests with no timeout or graceful draining; this forced cancellation behavior is no longer the default in v3, which instead drains and waits for in‑flight requests unless force is set."
